Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
roland-v-accordion-fr-4x-red-black-keyboard-type-soft-case,Roland V-accordion FR-4X Red Black Keyboard Type Soft case,Roland V-accordion FR-4X Red Black Keyboard Type Soft case description,,,,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,5365,5365,TRUE,TRUE,,https://i.ebayimg.com/images/g/my0AAOSwxOxjUiH-/s-l500.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
roland-v-accordion-fr-4x-red-black-keyboard-type-soft-case,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/cTcAAOSw~QZjUiH-/s-l500.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
yamaha-silent-acoustic-guitar-nylon-strings-crimson-red-burst-slg200n-crb,YAMAHA Silent Acoustic Guitar Nylon Strings Crimson Red Burst SLG200N CRB,YAMAHA Silent Acoustic Guitar Nylon Strings Crimson Red Burst SLG200N CRB description,,,,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,662.61,662.61,TRUE,TRUE,,https://i.ebayimg.com/images/g/zy8AAOSwKL5hNmvu/s-l500.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
yamaha-silent-acoustic-guitar-nylon-strings-crimson-red-burst-slg200n-crb,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/joUAAOSwDclhNmvv/s-l500.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
yamaha-silent-acoustic-guitar-nylon-strings-crimson-red-burst-slg200n-crb,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/ZzYAAOSwlkhhNmvu/s-l500.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
yamaha-silent-acoustic-guitar-nylon-strings-crimson-red-burst-slg200n-crb,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/L50AAOSw8oNhNmvu/s-l500.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
yamaha-silent-acoustic-guitar-nylon-strings-crimson-red-burst-slg200n-crb,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/o~AAAOSwqRVhNmvu/s-l500.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
yamaha-silent-acoustic-guitar-nylon-strings-crimson-red-burst-slg200n-crb,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/-YIAAOSwsXZhNmvu/s-l500.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
yamaha-silent-acoustic-guitar-nylon-strings-crimson-red-burst-slg200n-crb,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/h38AAOSwBd1hNmvu/s-l500.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
yamaha-silent-acoustic-guitar-nylon-strings-crimson-red-burst-slg200n-crb,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/0KwAAOSwRpRhNmvu/s-l500.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
