Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,Ibanez SSR645 Transparent Low Gloss Limited Model Bass Guitars 5 strings Black,Ibanez SSR645 Transparent Low Gloss Limited Model Bass Guitars 5 strings Black description,,,,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,899.89,899.89,TRUE,TRUE,,https://i.ebayimg.com/images/g/NQkAAOSwYQFiv581/s-l500.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/QDIAAOSw~WJiv58t/s-l500.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/fBcAAOSwCWdiv58w/s-l500.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/u8cAAOSwVBViv586/s-l500.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/VrcAAOSwDzdiv58~/s-l500.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/RLcAAOSwMxliv59C/s-l500.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/QU4AAOSwcR9iv59H/s-l500.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/wIMAAOSw-Khiv59K/s-l500.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/lFAAAOSw~-piv59Q/s-l500.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,
ibanez-ssr645-transparent-low-gloss-limited-model-bass-guitars-5-strings-black,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/wlAAAOSwFbdiv59T/s-l500.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,Steinberger Electric Guitar Spirit GT-Pro Deluxe GTPROBK1 7.0 lbs,Steinberger Electric Guitar Spirit GT-Pro Deluxe GTPROBK1 7.0 lbs description,,,,,TRUE,Title,Default Title,,,,,,0,shopify,1,deny,manual,667.45,667.45,TRUE,TRUE,,https://i.ebayimg.com/images/g/VY0AAOSw3L9fsJO5/s-l500.jpg,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,,,active
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/T6cAAOSwNm1fsJO3/s-l500.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/LdkAAOSwggRfsJO4/s-l500.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/3wkAAOSwsHhfsJO4/s-l500.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/LDEAAOSwp6xfsJO6/s-l500.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/JMoAAOSwMFhfsJQ7/s-l500.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/ADEAAOSwlIZfsJQ8/s-l500.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/C~AAAOSwxKBfsJQ9/s-l500.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/UWwAAOSwIy1fsJQ-/s-l500.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,
steinberger-electric-guitar-spirit-gt-pro-deluxe-gtprobk1-70-lbs,,,,,,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/0i4AAOSwjXtfsJQ~/s-l500.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,
